Adj Close SOXX,Adj Close ADI
102.598602,60.65781
102.481216,60.41972
103.312668,60.781624
102.608391,60.753052
102.999664,61.086388
103.478951,61.181622
104.887482,62.162586
104.153885,61.791161
104.134308,61.143532
104.887482,61.076862
105.787392,61.086388
105.836296,60.800671
106.354713,60.762577
105.47438,60.110664
105.904755,60.129837
106.374268,60.359928
106.794884,60.29282
106.589485,60.302402
106.521011,59.976448
107.362213,60.455795
107.254631,60.54208
107.010094,60.13942
106.198204,59.104031
106.01236,58.873936
102.246483,57.157852
104.153885,58.116562
103.234413,57.953579
104.144096,58.404167
106.550346,60.062725
106.579697,59.487503
106.706856,59.880569
106.227547,59.765526
107.694794,60.685883
108.046928,61.05019
106.941612,60.618767
105.88765,59.708004
107.714653,61.174828
107.93074,61.28986
109.256805,61.107712
110.98558,61.788387
110.239067,61.596649
109.954208,61.587055
110.759659,62.008888
111.407944,62.06641
111.240959,61.759632
110.681084,60.733818
108.36293,59.535442
107.999512,58.663021
106.722572,58.202843
107.528038,59.497097
106.96814,59.151955
108.20578,59.573788
107.753944,59.353283
108.510284,60.848862
108.235245,60.311985
110.219414,61.376141
110.121208,61.414494
109.964027,60.820103
109.453247,60.657124
108.795143,60.906384
109.384499,61.452843
108.412048,60.973492
107.695007,61.031017
107.508385,61.213169
106.83062,60.810513
109.836334,61.70211
110.062256,62.171871
109.541664,62.286922
107.174423,61.596649
111.280258,62.622463
110.700714,63.715378
112.773293,65.393105
114.069878,65.076744
115.297707,65.393105
116.132629,65.64238
116.908607,66.93663
118.156082,69.879829
118.303413,70.550941
118.509689,71.135742
118.156082,71.097397
